date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:53:25	87684/87684	---M-Z	200	added ('OK')	text/html	etag:%223879-1767658852;gz%22	https://www.sabourg.com/2025/12/19/prise-de-serment-du-premier-ministre-et-son-gouvernement-pour-la-periode-2026-2028/	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/2025/12/19/prise-de-serment-du-premier-ministre-et-son-gouvernement-pour-la-periode-2026-2028/index.html	(from https://www.sabourg.com/)
22:53:25	291049/291049	---M--	200	added ('OK')	image/png	etag:%2282180573-1768078367;;;%22	https://www.sabourg.com/wp-content/uploads/2025/12/Screenshot_89.png	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/uploads/2025/12/Screenshot_89.png	(from https://www.sabourg.com/)
22:53:25	39407/39407	---M--	200	added ('OK')	image/jpeg	etag:%2282180575-1768078367;;;%22	https://www.sabourg.com/wp-content/uploads/2025/11/Immagine-WhatsApp-2025-10-31-ore-21.00.40_f2426a3c-780x470.jpg	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/uploads/2025/11/Immagine-WhatsApp-2025-10-31-ore-21.00.40_f2426a3c-780x470.jpg	(from https://www.sabourg.com/)
22:53:25	28308/28308	---M--	200	added ('OK')	image/webp	etag:%2282180578-1768078367;;;%22	https://www.sabourg.com/wp-content/uploads/2025/10/san-martino-1024x576-1-780x470.webp	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/uploads/2025/10/san-martino-1024x576-1-780x470.webp	(from https://www.sabourg.com/)
22:53:26	8851/8851	---M--	200	added ('OK')	image/jpeg	etag:%2282180545-1768078367;;;%22	https://www.sabourg.com/wp-content/uploads/2025/06/Immagine-WhatsApp-2025-06-04-ore-16.47.13_90d2e7c5-220x150.jpg	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/uploads/2025/06/Immagine-WhatsApp-2025-06-04-ore-16.47.13_90d2e7c5-220x150.jpg	(from https://www.sabourg.com/)
22:53:26	9941/9941	---M--	200	added ('OK')	image/jpeg	etag:%2282180546-1768078367;;;%22	https://www.sabourg.com/wp-content/uploads/2025/05/Immagine-WhatsApp-2025-05-14-ore-18.21.56_9ff66641-220x150.jpg	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/uploads/2025/05/Immagine-WhatsApp-2025-05-14-ore-18.21.56_9ff66641-220x150.jpg	(from https://www.sabourg.com/)
22:53:26	74097/74097	---M-Z	200	added ('OK')	text/html	etag:%223125-1767546207;gz%22	https://www.sabourg.com/2025/12/11/fete-du-prince-abbe-2025/	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/2025/12/11/fete-du-prince-abbe-2025/index.html	(from https://www.sabourg.com/)
22:53:26	3636/3636	---M--	200	added ('OK')	image/webp	etag:%2282180547-1768078367;;;%22	https://www.sabourg.com/wp-content/uploads/2025/05/prevost-3-1-220x150.webp	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/uploads/2025/05/prevost-3-1-220x150.webp	(from https://www.sabourg.com/)
22:53:27	10621/10621	---M--	200	added ('OK')	image/jpeg	etag:%2282180552-1768078367;;;%22	https://www.sabourg.com/wp-content/uploads/2025/05/1000196481-220x150.jpg	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/uploads/2025/05/1000196481-220x150.jpg	(from https://www.sabourg.com/)
22:53:27	6563/6563	---M--	200	added ('OK')	image/jpeg	etag:%2282180554-1768078367;;;%22	https://www.sabourg.com/wp-content/uploads/2025/04/pope-francis-707390_1920-220x150.jpg	C:/My%20Web%20Sites/https___www.sabourg.com_/www.sabourg.com/wp-content/uploads/2025/04/pope-francis-707390_1920-220x150.jpg	(from https://www.sabourg.com/)
